Date,Open,High,Low,Close,Volume,FiveMVA,FIfteenMVA,Signal,ActiveValue,ActiveReturn,PassiveValue,PassiveReturn
3/3/2023,92.74,94.94,92.66,94.9,55759600,93.158,96.23866687,,85077.52,-0.15,85781.44,-0.14
3/6/2023,95.19,96.55,93.74,93.75,52112400,93.4380004,96.01600047,,85077.52,-0.15,84741.93,-0.15
3/7/2023,94.06,95.09,92.78,93.55,49100700,93.436,95.75866707,,85077.52,-0.15,84561.15,-0.15
3/8/2023,93.6,94.17,92.18,93.92,44899100,93.3,95.35933387,,85077.52,-0.15,84895.6,-0.15
3/9/2023,93.68,96.21,92.18,92.25,56218700,93.65,94.9740006,,85077.52,-0.15,83386.06,-0.17
3/10/2023,92.67,93.57,90.25,90.73,69827500,93.6740006,94.38000033,,85077.52,-0.15,82012.12,-0.18
3/13/2023,89.97,94.02,88.12,92.43,72397100,92.8400008,93.88533373,,85077.52,-0.15,83548.77,-0.16
3/14/2023,93.83,95.07,92.71,94.88,60912700,92.5760008,93.56733393,,85077.52,-0.15,85763.35,-0.14
3/15/2023,93.22,96.67,93.07,96.2,70731800,92.8419996,93.5873336,,85077.52,-0.15,86956.52,-0.13
3/16/2023,95.75,100.99,95.61,100.04,84446900,93.2979994,93.61466667,,85077.52,-0.15,90427.55,-0.1
3/17/2023,99.79,100.66,97.46,98.95,87300200,94.8559996,93.89600007,Buy,85077.52,-0.15,89442.28,-0.11
3/20/2023,98.41,98.48,95.7,97.71,62388900,96.4999984,94.2593332,,84011.37,-0.16,88321.43,-0.12
3/21/2023,98.14,100.85,98,100.61,58597300,97.5559982,94.52266633,,86504.8,-0.13,90942.79,-0.09
3/22/2023,100.45,102.1,98.61,98.7,57475400,98.701999,94.94799953,,84862.57,-0.15,89216.31,-0.11
3/23/2023,100.43,101.06,97.62,98.71,57559300,99.201999,95.3833328,,84871.17,-0.15,89225.35,-0.11
3/24/2023,98.07,98.3,96.4,98.13,56095400,98.9359986,95.8219996,,84372.48,-0.16,88701.08,-0.11
3/27/2023,99.07,99.34,97.08,98.04,46721300,98.7719986,96.0373326,,84295.1,-0.16,88619.73,-0.11
3/28/2023,98.11,98.44,96.29,97.24,38720100,98.837999,96.32333267,,83607.26,-0.16,87896.59,-0.12
3/29/2023,98.69,100.42,98.56,100.25,49783300,98.1639984,96.56933233,,86195.27,-0.14,90617.38,-0.09
3/30/2023,101.55,103.04,101.01,102,53633400,98.473999,96.99133247,,87699.92,-0.12,92199.23,-0.08
3/31/2023,102.16,103.49,101.95,103.29,56750300,99.1319992,97.64133247,,88809.07,-0.11,93365.28,-0.07
4/3/2023,102.3,103.29,101.43,102.41,41135700,100.164,98.47866567,,88052.45,-0.12,92569.83,-0.07
4/4/2023,102.75,104.2,102.11,103.95,48662500,101.0380006,99.14399927,,89376.54,-0.11,93961.85,-0.06
4/5/2023,103.91,103.91,100.75,101.1,45175400,102.3800004,99.74866593,,86926.1,-0.13,91385.7,-0.09
4/6/2023,100.75,102.38,99.8,102.06,43808000,102.55,100.0753327,,87751.51,-0.12,92253.46,-0.08
4/10/2023,100.96,102.2,99.57,102.17,37261200,102.5619996,100.2099991,,87846.09,-0.12,92352.89,-0.08
4/11/2023,100.8,101,99.01,99.92,60417800,102.337999,100.4246659,,85911.53,-0.14,90319.08,-0.1
4/12/2023,100.4,100.51,97.71,97.83,56735000,101.8399978,100.5719991,,84114.55,-0.16,88429.91,-0.12
4/13/2023,98.95,102.57,98.71,102.4,67925100,100.6159988,100.3866659,,88043.85,-0.12,92560.79,-0.07
4/14/2023,102.07,103.2,101.11,102.51,51450500,100.8759996,100.6333329,,88138.43,-0.12,92660.22,-0.07
4/17/2023,103.16,103.73,101.59,102.74,39919500,100.9660004,100.8866664,,88336.18,-0.12,92868.12,-0.07
4/18/2023,103.95,104.2,101.52,102.3,39790500,101.0800004,101.1939998,Sell,87957.87,-0.12,92470.4,-0.08
4/19/2023,101.58,105.12,101.39,104.3,58398900,101.5560014,101.4779999,Buy,87957.87,-0.12,94278.23,-0.06
4/20/2023,103.53,105.25,103.21,103.81,57696900,102.8500016,101.9486669,,87544.64,-0.12,93835.31,-0.06
4/21/2023,106.1,108.15,105.08,106.96,86774200,103.1320008,102.1860001,,90201.09,-0.1,96682.64,-0.03
4/24/2023,107.66,109.23,105.07,106.21,69575600,104.0220002,102.5166667,,89568.6,-0.1,96004.7,-0.04
4/25/2023,104.91,105.45,102.45,102.57,65026800,104.7160004,102.7113333,,86498.93,-0.14,92714.46,-0.07
4/26/2023,105.04,106.62,104.1,104.98,73803800,104.7699998,102.7219997,,88531.32,-0.11,94892.89,-0.05
4/27/2023,108.16,110.86,106.8,109.82,149961200,104.9059998,102.7906667,,92612.97,-0.07,99267.83,-0.01
4/28/2023,107.73,109.48,104.33,105.45,130565000,106.1080002,103.3720002,,88927.68,-0.11,95317.73,-0.05
5/1/2023,104.95,105.23,101.82,102.05,74728100,105.8059998,103.5980001,,86060.41,-0.14,92244.42,-0.08
5/2/2023,101.47,103.9,101.15,103.63,73469400,104.9740006,103.5900005,,87392.84,-0.13,93672.6,-0.06
5/3/2023,103.74,105.96,103.28,103.65,65051900,105.186,103.8373337,,87409.71,-0.13,93690.68,-0.06
5/4/2023,104.04,105.39,103.31,104,45345500,104.9199998,104.2253337,,87704.87,-0.12,94007.05,-0.06
5/5/2023,104.27,105.76,103.55,105.66,56912900,103.7559998,104.3320003,Sell,89104.78,-0.11,95507.55,-0.04
5/8/2023,105.04,106.1,104.7,105.83,49430900,103.7980012,104.5420004,,89104.78,-0.11,95661.22,-0.04
5/9/2023,105.48,106.79,105.16,106.62,44089400,104.554001,104.7480007,,89104.78,-0.11,96375.31,-0.04
5/10/2023,108.1,110.67,108.05,110.19,78627600,105.1520022,105.0360007,Buy,89104.78,-0.11,99602.28,0
5/11/2023,111.03,113.28,110.49,112.18,74924800,106.4600022,105.4286673,,90713.98,-0.09,101401.07,0.01
5/12/2023,112.16,112.64,109.32,110.26,49810100,108.0960022,105.9866674,,89161.38,-0.11,99665.56,0
5/15/2023,111.15,112.29,109.25,111.2,53011100,109.0160018,106.2066676,,89921.51,-0.1,100515.23,0.01
5/16/2023,111.05,114.79,111.05,113.4,71472900,110.0900008,106.5393341,,91700.53,-0.08,102503.85,0.03
5/17/2023,114.89,115.83,114.22,115.5,65655200,111.4460006,107.2613343,,93398.69,-0.07,104402.06,0.04
5/18/2023,116.69,118.6,116.34,118.15,73174100,112.5080002,107.9626674,,95541.61,-0.04,106797.44,0.07
5/19/2023,118.16,118.31,115.7,116.25,54990200,113.7020006,108.5180009,,94005.18,-0.06,105080,0.05
5/22/2023,116.77,116.77,114.25,115.01,70741100,114.9000002,109.2380011,,93002.46,-0.07,103959.15,0.04
5/23/2023,114.27,117.14,113.78,114.99,67576300,115.6620012,110.102001,,92986.28,-0.07,103941.07,0.04
5/24/2023,115.35,117.34,115.02,116.75,63487900,115.9800004,110.8593344,,94409.5,-0.06,105531.96,0.06
5/25/2023,116.63,116.87,114.31,115,66496700,116.2300004,111.7326676,,92994.37,-0.07,103950.11,0.04
5/26/2023,116.04,121.5,116.02,120.11,96779900,115.6,112.4660009,,97126.55,-0.03,108569.11,0.09
5/30/2023,122.37,122.92,119.86,121.66,64314800,116.3720002,113.4293341,,98379.96,-0.02,109970.18,0.1
